RANK  UNWEIGHTED          WEIGHTED
1     KEN                 KEN
2     LUKE                LUKE
3     RYU                 RYU
4     CAMMY               CAMMY
5     DEE JAY             DEE JAY
6     JURI                JURI
7     JAMIE               JAMIE
8     JP                  JP
9     MARISA              MARISA
10    ZANGIEF             ZANGIEF
11    CHUN-LI             CHUN-LI
12    GUILE               GUILE
13    MANON               MANON
14    KIMBERLY            KIMBERLY
15    A.K.I.              E. HONDA
16    RASHID              BLANKA
17    E. HONDA            RASHID
18    BLANKA              A.K.I.
19    LILY                LILY
20    DHALSIM             DHALSIM
21    ED                  ED
